# units = {

	#according to a German lexicon the Swedish Fleet consisted of 10 Lineships, 5 Frigates, 8 Briggs/Corvettes, 9 Steam Corvettes, 20 Schooners

 #fleet = {
		 	#name = "Skärgårdsflottan"
			#ship = { name = "HMS Delfinen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Nordkaparen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Springaren" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjölejonet" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjöbjörnen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjöhunden" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Svärdfisken" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Tumlaren" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Dykaren" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjöhästen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjöormen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sjöborren" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Neptun" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Näcken" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Vargen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Forellen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Aborren" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Siken" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Gäddan" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Laxen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Makrillen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
		#}
	#}
#}
